,start,end,country,type,subtype,killed,total_affected,est_damage,disaster_n,location
2637,2008-02-17 00:00:00,2008-03-03 00:00:00,Madagascar,Storm,Tropical cyclone,93.0,524153.0,60.0,2008-0070, Mandrotsara
2637,2008-02-17 00:00:00,2008-03-03 00:00:00,Madagascar,Storm,Tropical cyclone,93.0,524153.0,60.0,2008-0070, Mahabo
2637,2008-02-17 00:00:00,2008-03-03 00:00:00,Madagascar,Storm,Tropical cyclone,93.0,524153.0,60.0,2008-0070, Mandrivazo
2637,2008-02-17 00:00:00,2008-03-03 00:00:00,Madagascar,Storm,Tropical cyclone,93.0,524153.0,60.0,2008-0070, Tana Atsimondrano
2637,2008-02-17 00:00:00,2008-03-03 00:00:00,Madagascar,Storm,Tropical cyclone,93.0,524153.0,60.0,2008-0070, Tana Avaradrano
2637,2008-02-17 00:00:00,2008-03-03 00:00:00,Madagascar,Storm,Tropical cyclone,93.0,524153.0,60.0,2008-0070, Ambohidratrimo
2637,2008-02-17 00:00:00,2008-03-03 00:00:00,Madagascar,Storm,Tropical cyclone,93.0,524153.0,60.0,2008-0070, Antanarivo   Analanjirofo
2637,2008-02-17 00:00:00,2008-03-03 00:00:00,Madagascar,Storm,Tropical cyclone,93.0,524153.0,60.0,2008-0070, Vatovavy Fitovavy
2637,2008-02-17 00:00:00,2008-03-03 00:00:00,Madagascar,Storm,Tropical cyclone,93.0,524153.0,60.0,2008-0070, Alaotra Mangoro
2637,2008-02-17 00:00:00,2008-03-03 00:00:00,Madagascar,Storm,Tropical cyclone,93.0,524153.0,60.0,2008-0070, Atsinanana
2637,2008-02-17 00:00:00,2008-03-03 00:00:00,Madagascar,Storm,Tropical cyclone,93.0,524153.0,60.0,2008-0070, South East
2637,2008-02-17 00:00:00,2008-03-03 00:00:00,Madagascar,Storm,Tropical cyclone,93.0,524153.0,60.0,2008-0070, Haute Matsiatra
2637,2008-02-17 00:00:00,2008-03-03 00:00:00,Madagascar,Storm,Tropical cyclone,93.0,524153.0,60.0,2008-0070, Boeny
2637,2008-02-17 00:00:00,2008-03-03 00:00:00,Madagascar,Storm,Tropical cyclone,93.0,524153.0,60.0,2008-0070, Sofia
2637,2008-02-17 00:00:00,2008-03-03 00:00:00,Madagascar,Storm,Tropical cyclone,93.0,524153.0,60.0,2008-0070, Menabe
2637,2008-02-17 00:00:00,2008-03-03 00:00:00,Madagascar,Storm,Tropical cyclone,93.0,524153.0,60.0,2008-0070, Bongolova
2637,2008-02-17 00:00:00,2008-03-03 00:00:00,Madagascar,Storm,Tropical cyclone,93.0,524153.0,60.0,2008-0070, Analamanaga
2637,2008-02-17 00:00:00,2008-03-03 00:00:00,Madagascar,Storm,Tropical cyclone,93.0,524153.0,60.0,2008-0070, Betsiboka districts
2638,2008-03-05 00:00:00,2008-03-06 00:00:00,Madagascar,Storm,Tropical cyclone,,400.0,,2008-0111,Nosy Be
2641,2008-03-08 00:00:00,2008-03-09 00:00:00,Mozambique,Storm,Tropical cyclone,9.0,220013.0,20.0,2008-0111,Mossuril
2641,2008-03-08 00:00:00,2008-03-09 00:00:00,Mozambique,Storm,Tropical cyclone,9.0,220013.0,20.0,2008-0111, Zngoche
2641,2008-03-08 00:00:00,2008-03-09 00:00:00,Mozambique,Storm,Tropical cyclone,9.0,220013.0,20.0,2008-0111, Nacala Porto
2641,2008-03-08 00:00:00,2008-03-09 00:00:00,Mozambique,Storm,Tropical cyclone,9.0,220013.0,20.0,2008-0111, Moma
2641,2008-03-08 00:00:00,2008-03-09 00:00:00,Mozambique,Storm,Tropical cyclone,9.0,220013.0,20.0,2008-0111, Mongicual Ilha de Mocambique
2641,2008-03-08 00:00:00,2008-03-09 00:00:00,Mozambique,Storm,Tropical cyclone,9.0,220013.0,20.0,2008-0111, Mogivolas 
2641,2008-03-08 00:00:00,2008-03-09 00:00:00,Mozambique,Storm,Tropical cyclone,9.0,220013.0,20.0,2008-0111,Zambezia
2641,2008-03-08 00:00:00,2008-03-09 00:00:00,Mozambique,Storm,Tropical cyclone,9.0,220013.0,20.0,2008-0111, Nampula
2641,2008-03-08 00:00:00,2008-03-09 00:00:00,Mozambique,Storm,Tropical cyclone,9.0,220013.0,20.0,2008-0111, Sofala princes
2643,2008-05-02 00:00:00,2008-05-03 00:00:00,Myanmar,Storm,Tropical cyclone,138366.0,2420000.0,4000.0,2008-0184,Ngapadudaw
2643,2008-05-02 00:00:00,2008-05-03 00:00:00,Myanmar,Storm,Tropical cyclone,138366.0,2420000.0,4000.0,2008-0184, Labutta
2643,2008-05-02 00:00:00,2008-05-03 00:00:00,Myanmar,Storm,Tropical cyclone,138366.0,2420000.0,4000.0,2008-0184, Mawlamyinegyun
2643,2008-05-02 00:00:00,2008-05-03 00:00:00,Myanmar,Storm,Tropical cyclone,138366.0,2420000.0,4000.0,2008-0184, Bogale
2643,2008-05-02 00:00:00,2008-05-03 00:00:00,Myanmar,Storm,Tropical cyclone,138366.0,2420000.0,4000.0,2008-0184, Pyapon
2643,2008-05-02 00:00:00,2008-05-03 00:00:00,Myanmar,Storm,Tropical cyclone,138366.0,2420000.0,4000.0,2008-0184, Dedaye
2643,2008-05-02 00:00:00,2008-05-03 00:00:00,Myanmar,Storm,Tropical cyclone,138366.0,2420000.0,4000.0,2008-0184, Kyaiklat 
2643,2008-05-02 00:00:00,2008-05-03 00:00:00,Myanmar,Storm,Tropical cyclone,138366.0,2420000.0,4000.0,2008-0184,Ayeyarwardy
